ID,Breed,Image,Path,Width,Height,Xmin,Xmax,Ymin,Ymax
n02085620_10074,chihuahua,<PIL.Image.Image image mode=RGB size=251x488 at 0x1E8F7A64A90>,images/Images\n02085620-Chihuahua\n02085620_10074.jpg,333,500,25,276,10,498
n02085620_10131,chihuahua,<PIL.Image.Image image mode=RGB size=344x484 at 0x1E8F6D5CCD0>,images/Images\n02085620-Chihuahua\n02085620_10131.jpg,395,495,49,393,9,493
n02085620_10621,chihuahua,<PIL.Image.Image image mode=RGB size=193x207 at 0x1E8F7A4E110>,images/Images\n02085620-Chihuahua\n02085620_10621.jpg,500,298,142,335,43,250
n02085620_1073,chihuahua,<PIL.Image.Image image mode=RGB size=312x471 at 0x1E8F7AE7FD0>,images/Images\n02085620-Chihuahua\n02085620_1073.jpg,345,500,0,312,27,498
n02085620_10976,chihuahua,<PIL.Image.Image image mode=RGB size=152x348 at 0x1E8F7AFC3D0>,images/Images\n02085620-Chihuahua\n02085620_10976.jpg,322,484,90,242,104,452
n02085620_11140,chihuahua,<PIL.Image.Image image mode=RGB size=434x215 at 0x1E8F7AFC590>,images/Images\n02085620-Chihuahua\n02085620_11140.jpg,500,375,17,451,38,253
n02085620_11238,chihuahua,<PIL.Image.Image image mode=RGB size=106x192 at 0x1E8F7AFC750>,images/Images\n02085620-Chihuahua\n02085620_11238.jpg,382,384,39,145,191,383
n02085620_11258,chihuahua,<PIL.Image.Image image mode=RGB size=287x345 at 0x1E8F7A4DA90>,images/Images\n02085620-Chihuahua\n02085620_11258.jpg,375,500,76,363,30,375
n02085620_11337,chihuahua,<PIL.Image.Image image mode=RGB size=170x142 at 0x1E8F7AFCAD0>,images/Images\n02085620-Chihuahua\n02085620_11337.jpg,300,225,59,229,37,179
n02085620_11477,chihuahua,<PIL.Image.Image image mode=RGB size=241x364 at 0x1E8F77C4950>,images/Images\n02085620-Chihuahua\n02085620_11477.jpg,887,629,317,558,95,459
n02085620_1152,chihuahua,<PIL.Image.Image image mode=RGB size=153x144 at 0x1E8F6CDCBD0>,images/Images\n02085620-Chihuahua\n02085620_1152.jpg,500,375,3,156,81,225
